Semana;Categoría;Ranking;Título;Autor;Semanas en ranking;Género
16 de enero 2022;Combined Print & E-Book Fiction;5;THE JUDGE'S LIST;John Grisham;11;Thriller
16 de enero 2022;Combined Print & E-Book Fiction;6;THE LINCOLN HIGHWAY;Amor Towles;13;Coming of age
16 de enero 2022;Combined Print & E-Book Fiction;7;CRIMINAL MISCHIEF;Stuart Woods;1;Suspenso
16 de enero 2022;Combined Print & E-Book Fiction;8;THE LOVE HYPOTHESIS; Ali Hazelwood;7;Romance
16 de enero 2022;Combined Print & E-Book Fiction;9;WISH YOU WERE HERE;Jodi Picoult;5;Thriller
16 de enero 2022;Combined Print & E-Book Fiction;10;THE MIDNIGHT LIBRARY;Matt Haig;48;Ciencia Ficción
16 de enero 2022;Combined Print & E-Book Fiction;11;THE DARK HOURS; Michael Connelly;6;Misterio 
16 de enero 2022;Combined Print & E-Book Fiction;12;GO TELL THE BEES THAT I AM GONE;Diana Gabaldon;6;Ciencia Ficción
16 de enero 2022;Combined Print & E-Book Fiction;13;CLOUD CUCKOO LAND;Anthony Doerr;12;Ciencia Ficción
16 de enero 2022;Combined Print & E-Book Fiction;14;THE SONG OF ACHILLES;Madeline Miller;22;Romance
16 de enero 2022;Combined Print & E-Book Fiction;15;THE STRANGER IN THE LIFEBOAT;Mitch Albom;9;Misterio histórico 
16 de enero 2022;Combined Print & E-Book Nonfiction;1;THE 1619 PROJECT;Nikole Hannah-Jones;7;Historia
16 de enero 2022;Combined Print & E-Book Nonfiction;2;WILL;Will Smith;8;Autobiografía
16 de enero 2022;Combined Print & E-Book Nonfiction;3;THE YEAR OF MAGICAL THINKING;Joan Didion;1;Autobiografía
16 de enero 2022;Combined Print & E-Book Nonfiction;4;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;71;Autoayuda
16 de enero 2022;Combined Print & E-Book Nonfiction;5;THE STORYTELLER;Dave Grohl;13;Autobiografía
16 de enero 2022;Combined Print & E-Book Nonfiction;6;CRYING IN H MART;Michelle Zauner;14;Autobiografía
16 de enero 2022;Combined Print & E-Book Nonfiction;7;GREENLIGHTS;Matthew McConaughey;50;Autobiografía
16 de enero 2022;Combined Print & E-Book Nonfiction;8;TASTE;Stanley Tucci;12;Autobiografía
16 de enero 2022;Combined Print & E-Book Nonfiction;9;UNTAMED;Glennon Doyle;80;Autobiografía
16 de enero 2022;Combined Print & E-Book Nonfiction;10;ALL ABOUT LOVE;Bell Hooks;3;Autoayuda
16 de enero 2022;Combined Print & E-Book Nonfiction;11;THE LYRICS: 1956 TO THE PRESENT;Paul McCartney;9;Biografia 
16 de enero 2022;Combined Print & E-Book Nonfiction;12;THE DAWN OF EVERYTHING;David Graeber and David Wengrow;5;Historia
16 de enero 2022;Combined Print & E-Book Nonfiction;13;THE REAL ANTHONY FAUCI;Robert F. Kennedy Jr.;6;Política
16 de enero 2022;Combined Print & E-Book Nonfiction;14;ALL ABOUT ME!;Mel Brooks;3;Biografia 
16 de enero 2022;Combined Print & E-Book Nonfiction;15;VANDERBILT;Anderson Cooper and Katherine Howe;7;Biografia 
23 de enero 2022 ;Combined Print & E-Book Fiction;1;IT ENDS WITH US;Colleen Hoover;30;Romance
23 de enero 2022 ;Combined Print & E-Book Fiction;2;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;28;Romance
23 de enero 2022 ;Combined Print & E-Book Fiction;3;VERITY;Colleen Hoover;5;Thriller
23 de enero 2022 ;Combined Print & E-Book Fiction;4;INVISIBLE;Danielle Stee;1;Romance
23 de enero 2022 ;Combined Print & E-Book Fiction;5;THE SONG OF ACHILLES;Madeline Miller;23;Romance
23 de enero 2022 ;Combined Print & E-Book Fiction;6;THE LINCOLN HIGHWAY;Amor Towles;14;Coming of age
23 de enero 2022 ;Combined Print & E-Book Fiction;7;UGLY LOVE;Colleen Hoover;2;Romance
23 de enero 2022 ;Combined Print & E-Book Fiction;8;THE JUDGE'S LIST;John Grisham;12;Thriller
23 de enero 2022 ;Combined Print & E-Book Fiction;9;THE MIDNIGHT LIBRARY;Matt Haig;49;Ciencia Ficción
23 de enero 2022 ;Combined Print & E-Book Fiction;10;THE LOVE HYPOTHESIS;Ali Hazelwood;8;Romance
23 de enero 2022 ;Combined Print & E-Book Fiction;11;THE MAID;Nita Prose;1;Thriller
23 de enero 2022 ;Combined Print & E-Book Fiction;12;THE LAST THING HE TOLD ME;Laura Dave;29;Thriller
23 de enero 2022 ;Combined Print & E-Book Fiction;13;WISH YOU WERE HERE;Jodi Picoult;6;Thriller
23 de enero 2022 ;Combined Print & E-Book Fiction;14;PEOPLE WE MEET ON VACATION;Emily Henry;20;Romance
23 de enero 2022 ;Combined Print & E-Book Fiction;15;THE STARLESS CROWN;James Rollins;1;Thriller
23 de enero 2022 ;Combined Print & E-Book Nonfiction;1;UNTHINKABLE;Jamie Raskin;1;Autobiografía
23 de enero 2022 ;Combined Print & E-Book Nonfiction;2;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;72;Autoayuda
23 de enero 2022 ;Combined Print & E-Book Nonfiction;3;THE 1619 PROJECT;Nikole Hannah-Jones;8;Historia
23 de enero 2022 ;Combined Print & E-Book Nonfiction;4;CRYING IN H MART;Michelle Zauner;15;Autobiografía
23 de enero 2022 ;Combined Print & E-Book Nonfiction;5;WILL;Will Smith;9;Autobiografía
23 de enero 2022 ;Combined Print & E-Book Nonfiction;6;THE STORYTELLER;Dave Grohl;14;Autobiografía
23 de enero 2022 ;Combined Print & E-Book Nonfiction;7;ALL ABOUT LOVE;Bell Hooks;4;Autoayuda
23 de enero 2022 ;Combined Print & E-Book Nonfiction;8;UNTAMED;Glennon Doyle;81;Autobiografía
23 de enero 2022 ;Combined Print & E-Book Nonfiction;9;THE YEAR OF MAGICAL THINKING;Joan Didion;2;Autobiografía
23 de enero 2022 ;Combined Print & E-Book Nonfiction;10;GREENLIGHTS;Matthew McConaughey;51;Autobiografía
23 de enero 2022 ;Combined Print & E-Book Nonfiction;11;PERIL;Bob Woodward and Robert Costa;9;Política
23 de enero 2022 ;Combined Print & E-Book Nonfiction;12;THE DAWN OF EVERYTHING;David Graeber and David Wengrow;6;Historia
23 de enero 2022 ;Combined Print & E-Book Nonfiction;13;WHAT HAPPENED TO YOU?;Bruce D. Perry and Oprah Winfrey;23;Autoayuda
23 de enero 2022 ;Combined Print & E-Book Nonfiction;14;THE REAL ANTHONY FAUCI;Robert F. Kennedy Jr.;7;Política
23 de enero 2022 ;Combined Print & E-Book Nonfiction;15;TASTE;Stanley Tucci;13;Autobiografía
30 de enero 2022;Combined Print & E-Book Fiction;1;IT ENDS WITH US;Colleen Hoover;31;Romance
30 de enero 2022;Combined Print & E-Book Fiction;2;SOMETHING TO HIDE;Elizabeth George;1;Thriller
30 de enero 2022;Combined Print & E-Book Fiction;3;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;29;Romance
30 de enero 2022;Combined Print & E-Book Fiction;4;VERITY;Colleen Hoover;6;Thriller
30 de enero 2022;Combined Print & E-Book Fiction;5;THE MAID;Nita Prose;2;Thriller
30 de enero 2022;Combined Print & E-Book Fiction;6;THE HORSEWOMAN;James Patterson and Mike Lupica;1;Thriller
30 de enero 2022;Combined Print & E-Book Fiction;7;UGLY LOVE;Colleen Hoover;3;Romance
30 de enero 2022;Combined Print & E-Book Fiction;8;THE LINCOLN HIGHWAY;Amor Towles;15;Coming of age
30 de enero 2022;Combined Print & E-Book Fiction;9;TO PARADISE;Hanya Yanagihara;1;Novela Histórica
30 de enero 2022;Combined Print & E-Book Fiction;10;THE JUDGE'S LIST;John Grisham;13;Thriller
30 de enero 2022;Combined Print & E-Book Fiction;11;THE LAST THING HE TOLD ME;Laura Dave;30;Thriller
30 de enero 2022;Combined Print & E-Book Fiction;12;WISH YOU WERE HERE;Jodi Picoult;7;Thriller
30 de enero 2022;Combined Print & E-Book Fiction;13;THE MIDNIGHT LIBRARY;Matt Haig;50;Ciencia Ficción
30 de enero 2022;Combined Print & E-Book Fiction;14;THE LOVE HYPOTHESIS;Ali Hazelwood;9;Romance
30 de enero 2022;Combined Print & E-Book Fiction;15;END OF DAYS;Brad Taylor;1;Thriller
30 de enero 2022;Combined Print & E-Book Nonfiction;1;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;73;Autoayuda
30 de enero 2022;Combined Print & E-Book Nonfiction;2;UNTHINKABLE;Jamie Raskin;2;Autobiografía
30 de enero 2022;Combined Print & E-Book Nonfiction;3;THE 1619 PROJECT;Nikole Hannah-Jones;9;Historia
30 de enero 2022;Combined Print & E-Book Nonfiction;4;HOW CIVIL WARS START;Barbara F. Walter;1;Historia
30 de enero 2022;Combined Print & E-Book Nonfiction;5;GREENLIGHTS;Matthew McConaughey;52;Autobiografía
30 de enero 2022;Combined Print & E-Book Nonfiction;6;WILL;Will Smith;10;Autobiografía
30 de enero 2022;Combined Print & E-Book Nonfiction;7;CRYING IN H MART;Michelle Zauner;16;Autobiografía
30 de enero 2022;Combined Print & E-Book Nonfiction;8;CHASING HISTORY;Carl Bernstein;1;Autobiografía
30 de enero 2022;Combined Print & E-Book Nonfiction;9;ALL ABOUT LOVE;Bell Hooks;5;Autoayuda
30 de enero 2022;Combined Print & E-Book Nonfiction;10;THE STORYTELLER;Dave Grohl;15;Autobiografía
30 de enero 2022;Combined Print & E-Book Nonfiction;11;UNTAMED;Glennon Doyle;82;Autobiografía
30 de enero 2022;Combined Print & E-Book Nonfiction;12;BRAIDING SWEETGRASS;Robin Wall Kimmerer;25;Autoayuda
30 de enero 2022;Combined Print & E-Book Nonfiction;13;A LITTLE CLOSER TO HOME;Ginger Zee;1;Autobiografía
30 de enero 2022;Combined Print & E-Book Nonfiction;14;TASTE;Stanley Tucci;14;Autobiografía
30 de enero 2022;Combined Print & E-Book Nonfiction;15;THE REAL ANTHONY FAUCI;Robert F. Kennedy Jr.;8;Política
6 de febrero 2022;Combined Print & E-Book Fiction;1;IT ENDS WITH US;Colleen Hoover;32;Romance
6 de febrero 2022;Combined Print & E-Book Fiction;2;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;30;Romance
6 de febrero 2022;Combined Print & E-Book Fiction;3;VERITY;Colleen Hoover;7;Thriller
6 de febrero 2022;Combined Print & E-Book Fiction;4;ONE STEP TOO FAR;Lisa Gardner;1;Thriller
6 de febrero 2022;Combined Print & E-Book Fiction;5;UGLY LOVE;Colleen Hoover;4;Romance
6 de febrero 2022;Combined Print & E-Book Fiction;6;THE MAID;Nita Prose;3;Thriller
6 de febrero 2022;Combined Print & E-Book Fiction;7;THE LINCOLN HIGHWAY;Amor Towles;16;Coming of age
6 de febrero 2022;Combined Print & E-Book Fiction;8;THE MIDNIGHT LIBRARY;Matt Haig;51;Ciencia Ficción
6 de febrero 2022;Combined Print & E-Book Fiction;9;NOVEMBER 9;Colleen Hoover;2;Romance
6 de febrero 2022;Combined Print & E-Book Fiction;10;THE LAST THING HE TOLD ME;Laura Dave;31;Thriller
6 de febrero 2022;Combined Print & E-Book Fiction;11;LIGHTNING IN A MIRROR;Jayne Ann Krentz;1;Thriller
6 de febrero 2022;Combined Print & E-Book Fiction;12;THE JUDGE'S LIST;John Grisham;14;Thriller
6 de febrero 2022;Combined Print & E-Book Fiction;13;ELECTRIC IDOL;Katee Robert;1;Romance
6 de febrero 2022;Combined Print & E-Book Fiction;14;THE LOVE HYPOTHESIS;Ali Hazelwood;10;Romance
6 de febrero 2022;Combined Print & E-Book Fiction;15;WISH YOU WERE HERE;Jodi Picoult;8;Thriller
6 de febrero 2022;Combined Print & E-Book Nonfiction;1;ENOUGH ALREADY;Valerie Bertinelli;1;AutoBiografía
6 de febrero 2022;Combined Print & E-Book Nonfiction;2;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;74;Autoayuda
6 de febrero 2022;Combined Print & E-Book Nonfiction;3;THE BETRAYAL OF ANNE FRANK;Rosemary Sullivan;1;Historia
6 de febrero 2022;Combined Print & E-Book Nonfiction;4;THE 1619 PROJECT;Nikole Hannah-Jones;10;Historia
6 de febrero 2022;Combined Print & E-Book Nonfiction;5;UNTHINKABLE;Jamie Raskin;3;Autobiografía
6 de febrero 2022;Combined Print & E-Book Nonfiction;6;CRYING IN H MART;Michelle Zauner;17;Autobiografía
6 de febrero 2022;Combined Print & E-Book Nonfiction;7;GREENLIGHTS;Matthew McConaughey;53;Autobiografía
6 de febrero 2022;Combined Print & E-Book Nonfiction;8;WILL;Will Smith;11;Autobiografía
6 de febrero 2022;Combined Print & E-Book Nonfiction;9;ALL ABOUT LOVE;Bell Hooks;6;Autoayuda
6 de febrero 2022;Combined Print & E-Book Nonfiction;10;THE STORYTELLER;Dave Grohl;16;Autobiografía
6 de febrero 2022;Combined Print & E-Book Nonfiction;11;BLOOD IN THE GARDEN;Chris Herring;1;Deporte
6 de febrero 2022;Combined Print & E-Book Nonfiction;12;BRAIDING SWEETGRASS;Robin Wall Kimmerer;26;Autoayuda
6 de febrero 2022;Combined Print & E-Book Nonfiction;13;UNTAMED;Glennon Doyle;83;Autobiografía
6 de febrero 2022;Combined Print & E-Book Nonfiction;14;TASTE;Stanley Tucci;15;Autobiografía
6 de febrero 2022;Combined Print & E-Book Nonfiction;15;JUST PURSUIT;Laura Coates;1;Historia
13 de febrero 2022;Combined Print & E-Book Fiction;1;IT ENDS WITH US;Colleen Hoover;33;Romance
13 de febrero 2022;Combined Print & E-Book Fiction;2;VERITY;Colleen Hoover;8;Thriller
13 de febrero 2022;Combined Print & E-Book Fiction;3;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;31;Romance
13 de febrero 2022;Combined Print & E-Book Fiction;4;SAVAGE ROAD;Christine Feehan;1;Romance
13 de febrero 2022;Combined Print & E-Book Fiction;5;UGLY LOVE;Colleen Hoover;5;Romance
13 de febrero 2022;Combined Print & E-Book Fiction;6;THE MAID;Nita Prose;4;Thriller
13 de febrero 2022;Combined Print & E-Book Fiction;7;THE LINCOLN HIGHWAY;Amor Towles;17;Coming of age
13 de febrero 2022;Combined Print & E-Book Fiction;8;THE MIDNIGHT LIBRARY;Matt Haig;52;Ciencia Ficción
13 de febrero 2022;Combined Print & E-Book Fiction;9;THE LAST THING HE TOLD ME;Laura Dave;32;Thriller
13 de febrero 2022;Combined Print & E-Book Fiction;10;THE MAGNOLIA PALACE; Fiona Davis;1;Misterio
13 de febrero 2022;Combined Print & E-Book Fiction;11;THE JUDGE'S LIST;John Grisham;15;Thriller
13 de febrero 2022;Combined Print & E-Book Fiction;12;VIOLETA;Isabel Allende;1;Romance
13 de febrero 2022;Combined Print & E-Book Fiction;13;THE LOVE HYPOTHESIS;Ali Hazelwood;11;Romance
13 de febrero 2022;Combined Print & E-Book Fiction;14;THE HORSEWOMAN;James Patterson and Mike Lupica;2;Thriller
13 de febrero 2022;Combined Print & E-Book Fiction;15;WHERE THE CRAWDADS SING;Delia Owens;149;Thriller
